index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote
0793e4222a381853305167206af329f3,2025-10-07T07:30:10Z,'Wasser sparen',www.n-tv.de,de,1.0,Nachhaltiger leben: Wie man zu Hause den Wasserverbrauch reduziert,"Die Umwelt schonen und dabei Geld sparen: Den Wasserverbrauch zu reduzieren hat viele Vorteile. Dafür muss man aber wissen, an welchen Stellen das Sparen am meisten bringt.",https://www.n-tv.de/ratgeber/Wie-man-zu-Hause-den-Wasserverbrauch-reduziert-article25891881.html,https://www.n-tv.de/img/incoming/crop14501701/4301328058-cImg_16_9-w1200/3nn25050.jpg,,"Die Umwelt schonen und dabei Geld sparen: Den Wasserverbrauch zu reduzieren hat viele Vorteile. Dafür muss man aber wissen, an welchen Stellen das Sparen am meisten bringt.
Ob für die Umwelt, die Ha… [+3804 chars]",
6dae27933358a287998e4c67c7d5933c,2025-10-07T13:09:18Z,'Wasserspeicher',www.stern.de,de,1.0,Energiewende: In Deutschland einmalig: EnBW baut Wasserspeicher im Berg,"In Forbach entsteht ein unterirdischer Wasserspeicher, der das Pumpspeicherkraftwerk deutlich leistungsfähiger macht. Was das für die Energieversorgung bedeutet.",https://www.stern.de/gesellschaft/regional/baden-wuerttemberg/energiewende--in-deutschland-einmalig--enbw-baut-wasserspeicher-im-berg-36112442.html,https://image.stern.de/36112444/t/CJ/v1/w1440/r1.7778/-/07--ypeekuuct7v7axs2048jpeg---71ca3de975bc40d1.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
In Forbach entsteht ein unterirdischer Wasserspeicher, der das Pumpspeicherkraftwerk deutlich leistungsfähiger macht. Was das für die Energievers… [+1689 chars]",
923f88a7599e782212fdd37e3225ddd7,2025-10-08T09:19:03Z,'Hitzetote',www.stern.de,de,1.0,Bericht: Zahl der Hitzetoten in diesem Sommer in Deutschland auf 2500 gesunken,"Die Zahl der Hitzetoten in Deutschland ist einer Schätzung des Robert-Koch-Instituts (RKI) zufolge in diesem Sommer auf 2500 gesunken. Damit sank der Wert auf den niedrigsten Stand seit 2021, wie die ""Rheinische Post"" auf Grundlage von Wochenberichten zur hit…",https://www.stern.de/news/bericht--zahl-der-hitzetoten-in-diesem-sommer-in-deutschland-auf-2500-gesunken-36114328.html,https://image.stern.de/36114330/t/NS/v1/w1440/r1.7778/-/08--passant-fuellt-wasserflasche-in-paris---1ab481be59a26beb.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Die Zahl der Hitzetoten in Deutschland ist einer Schätzung des Robert-Koch-Instituts (RKI) zufolge in diesem Sommer auf 2500 gesunken. Damit sank… [+543 chars]",
56249ea5745f161eece89cd6cf290c61,2025-10-08T10:09:17Z,'Dürre',www.faz.net,de,1.0,Vielfältige Wasserstrategien: Was den Wald bei Dürre schützt,"Bäume reagieren je nach Art unterschiedlich auf Wassermangel. Eine Frankfurter Studie zeigt, dass es im Kampf gegen den Klimawandel helfen kann, diese Vielfalt zu nutzen.",https://www.faz.net/aktuell/rhein-main/frankfurt/was-den-wald-bei-duerre-schuetzt-accg-110697572.html,https://media1.faz.net/ppmedia/w1200/aktuell/gesellschaft/2237248266/1.10697571/facebook_teaser/haertetest-fuer-die-vegetation.jpg.webp,,"Wie ein Wald mit dem Klimawandel zurechtkommt, hängt auch davon ab, wie gut seine Bäume einen Mangel an Wasser verkraften. Hilfreich ist es, wenn sie über unterschiedliche Strategien verfügen, um ihr… [+1168 chars]",
2842440712209df0c40bb33e9edcab93,2025-10-09T08:53:02Z,'Dürre',www.diepresse.com,de,1.0,Warum die europaweit beliebte Thuje in Gefahr ist [premium],"Nicht nur Hitze und Dürre setzen des Österreichers beliebtestem Zaungewächs zu, sondern auch der eingewanderte südeuropäische Thujenborkenkäfer, gegen den kaum ein Kraut gewachsen ist.",https://www.diepresse.com/20165477/warum-die-europaweit-beliebte-thuje-in-gefahr-ist,https://img.diepresse.com/public/incoming/2lxnsi-20190810_PD16323.HR.jpg/alternates/DPR_SOCIAL_MAGAZIN/20190810_PD16323.HR.jpg,,"Die europaweit beliebte Thuje, die vor allem als Zaun und als Sichtschutz gepflanzt wird, ist ökologisch kein sonderlich wertvolles Gewächs und wird von der heimischen Tierwelt höchstens als Nistplat… [+5039 chars]",
6f1a2412224aaa6926363ded38967093,2025-10-09T09:59:17Z,'Klimawandel',www.n-tv.de,de,1.0,Welthungerhilfe warnt: UN-Ziel für Hungerbekämpfung bis 2030 kaum erreichbar,"Trotz globaler Bemühungen ist das UN-Ziel zur Hungerbekämpfung bis 2030 unerreichbar. Die Welthungerhilfe berichtet von einer Verdoppelung der Betroffenen im Jahr 2024, besonders in Krisengebieten. Gewalt, Klimawandel und Instabilität verschärfen die Lage.",https://www.n-tv.de/politik/UN-Ziel-fuer-Hungerbekaempfung-bis-2030-kaum-erreichbar-article26084835.html,https://www.n-tv.de/img/incoming/crop26084516/7221325080-cImg_16_9-w1200/imago836544140.jpg,,"Trotz globaler Bemühungen ist das UN-Ziel zur Hungerbekämpfung bis 2030 unerreichbar. Die Welthungerhilfe berichtet von einer Verdoppelung der Betroffenen im Jahr 2024, besonders in Krisengebieten. G… [+3746 chars]",
7374eb634107d39f209114a1589718b6,2025-10-09T10:55:32Z,'Hungersnot',www.tagesspiegel.de,de,1.0,Überleben tausender Kinder gefährdet: Mediziner bestätigen Hungersnot in Gaza-Stadt,"Die humanitäre Lage in Gaza ist katastrophal, auch Kinder sind Leidtragende. Daten zeigen: Jeder Waffenstillstand bringt kurzfristig Erleichterung, jede Blockade Mangel und Lebensgefahr.",https://www.tagesspiegel.de/wissen/uberleben-tausender-kinder-gefahrdet-mediziner-bestatigen-hungersnot-in-gaza-stadt-14513408.html,https://www.tagesspiegel.de/images/14513267/alternates/BASE_16_9_W1400/1759999398000/palestinians-struggle-to-survive-in-gaza-under-israeli-attack.jpeg,,"Mehr als 54.600 unter fünf Jahre alte Kinder in Gaza sind akut unterernährt. Darunter sind etwa 12.800 Kinder, die dringend medizinisch versorgt werden müssten, berichten Forschende im renommierten F… [+3795 chars]",
4638b6a3efa4804912fb872bc994fff6,2025-10-10T07:53:30Z,'Dürre teuer',www.focus.de,de,0.1,"Auswanderin in Afrika: Kelis verrät, warum sie ihr neues Leben in Kenia liebt",Kelis hat ihr Leben in den USA hinter sich gelassen und lebt nun in Nairobi. Dort entdeckt sie die Vorzüge und Herausforderungen des Alltags in Afrika.,https://www.focus.de/reisen/auswanderin-in-afrika-kelis-verraet-warum-sie-ihr-neues-leben-in-kenia-liebt_7fe7a6dd-5483-425c-8656-3951617bd2b1.html,https://quadro.burda-forward.de/ctf/ddb903dc-cb60-4844-976c-f8ac97e567e8.c611c409-3b13-4341-baab-6cf731f06af4.jpg?im=RegionOfInterestCrop%3D%281200%2C630%29%2CregionOfInterest%3D%281700%2C522%29&hash=f5c1d2223671904880bd6faa6f2df0d86bf087537a7e47ec5d9e3210f6ad91f5,http://web.archive.org/web/20251012055258/https://www.focus.de/reisen/auswanderin-in-afrika-kelis-verraet-warum-sie-ihr-neues-leben-in-kenia-liebt_7fe7a6dd-5483-425c-8656-3951617bd2b1.html,"Die amerikanische Sängerin Kelis Rogers hat auf Instagram erklärt, warum sie sich für ein Leben in Kenia entschieden hat. Als Amerikanerin hier zu leben, ist etwas völlig anderes, als nur für einen U… [+2163 chars]",
0a2b0296fbb5b1e07c5644796fcf98b7,2025-10-10T07:53:30Z,'Dürre teuer',www.focus.de,de,0.1,Auswanderin Kelis begeistert von Kenia – das liebt sie besonders an Afrika,Kelis hat ihr Leben in den USA hinter sich gelassen und lebt nun in Nairobi. Dort entdeckt sie die Vorzüge und Herausforderungen des Alltags in Afrika.,https://www.focus.de/reisen/auswanderin-kelis-begeistert-von-kenia-das-liebt-sie-besonders-an-afrika_7fe7a6dd-5483-425c-8656-3951617bd2b1.html,https://quadro.burda-forward.de/ctf/ddb903dc-cb60-4844-976c-f8ac97e567e8.c611c409-3b13-4341-baab-6cf731f06af4.jpg?im=RegionOfInterestCrop%3D%281200%2C630%29%2CregionOfInterest%3D%281700%2C522%29&hash=f5c1d2223671904880bd6faa6f2df0d86bf087537a7e47ec5d9e3210f6ad91f5,,"Die amerikanische Sängerin Kelis Rogers hat auf Instagram erklärt, warum sie sich für ein Leben in Kenia entschieden hat. Als Amerikanerin hier zu leben, ist etwas völlig anderes, als nur für einen U… [+2163 chars]",
81b874185d368b3cd639b5ae6279d379,2025-10-10T08:15:07Z,'Klimawandel',www.zeit.de,de,1.0,Flora und Fauna: Klimawandel setzt Robben zu – Drei Arten stärker gefährdet,Hier finden Sie Informationen zu dem Thema „Flora und Fauna“. Lesen Sie jetzt „Klimawandel setzt Robben zu – Drei Arten stärker gefährdet“.,https://www.zeit.de/news/2025-10/10/klimawandel-setzt-robben-zu-drei-arten-staerker-gefaehrdet,https://img.zeit.de/news/2025-10/10/klimawandel-setzt-robben-zu-drei-arten-staerker-gefaehrdet-image-group/wide__1300x731,http://web.archive.org/web/20251010083847/https://www.zeit.de/news/2025-10/10/klimawandel-setzt-robben-zu-drei-arten-staerker-gefaehrdet,"Das Überleben wird für Robben in der Arktis schwieriger. Die Bestände gehen zurück, deshalb hat die Weltnaturschutzunion (IUCN) drei Arten in ihrer Roten Liste gefährdeter Arten auf eine neue Gefährd… [+1992 chars]",
