,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Al-Faschir,Al-Faschir,LOC,0.00000000,0.00000000,de,2.00000000,4339018-3,379555,P,13.62793000,25.34936000,AFRICA,Sudan,CAF
Waldfläche,Waldfläche,LOC,0.00000000,0.00000000,de,2.00000000,,0,,,,,,
Rajoelina,Rajoelina,LOC,0.00000000,0.00000000,de,2.00000000,,0,,,,,,
Rekordtempo,Rekordtempo,LOC,0.00000000,0.00000000,de,2.00000000,,0,,,,,,
Madrid,Madrid,LOC,0.70000000,0.00000000,de,2.00000000,4036862-2,3117735,P,40.41650000,-3.70256000,EUROPE-AFRICA,Spain,MED
Gesundheitsministerium Bilanz,Gesundheitsministerium Bilanz,LOC,-0.70000000,0.00000000,de,2.00000000,,0,,,,,,
US-Präsident,US-Präsident,LOC,-0.50000000,0.00000000,de,2.00000000,,0,,,,,,
Forbach,Forbach,LOC,-0.35000000,0.00000000,de,2.00000000,4387431-9,3017805,P,49.18848000,6.89255000,EUROPE,France,WCE
Krisengebieten,Krisengebieten,LOC,0.00000000,0.00000000,de,2.00000000,,0,,,,,,
Mandeln,Mandeln,LOC,-0.35000000,0.00000000,de,2.00000000,10160779-9,2873982,P,50.85078000,8.33897000,EUROPE,Germany,WCE
Andalusien,Andalusien,LOC,-0.70000000,0.50000000,de,2.00000000,4001909-3,2593109,A,37.50000000,-4.58333000,EUROPE-AFRICA,Spain,MED
Rheinland-Pfalz,Rheinland-Pfalz,LOC,-0.35000000,0.00000000,de,2.00000000,4049795-1,2847618,A,49.66667000,7.50000000,EUROPE,Germany,WCE
Brückl,Brückl,LOC,-0.35000000,0.00000000,de,2.00000000,4762165-5,2781364,P,46.75167000,14.53667000,EUROPE,Austria,WCE
Pischeldorf,Pischeldorf,LOC,-0.35000000,0.00000000,de,2.00000000,407643-6,2768763,P,46.68333000,14.45000000,EUROPE,Austria,WCE
Sizilien,Sizilien,LOC,0.00000000,0.00000000,de,2.00000000,4055193-3,2523118,T,37.62304000,13.93457000,EUROPE-AFRICA,Italy,MED
Universität Innsbruck,Universität Innsbruck,LOC,0.00000000,0.00000000,de,2.00000000,,0,,,,,,
Poppichl,Poppichl,LOC,-0.50000000,0.00000000,de,2.00000000,,2768504,P,46.66417000,14.30222000,EUROPE,Austria,WCE
Glan,Glan,LOC,-0.50000000,0.00000000,de,2.00000000,,1221704,T,37.88069000,74.89885000,ASIA,Tajikistan,WCA
